Name=Covert Ops: Desert Storm
Author=Adrenaline
MinLevel=10
JoinCost=2500

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=203.752441,1862.432129,12.801003

TeamCount=2
RunTime=600
WinXP=500000
WinCash=600000
KillXP=10000

; Boundaries, the furthest a player can get away from a point.
; Bounds=centrex,centrey,centrez,radius
; Bounds=2242.2410,-2276.7014,13.5545,60.0

BoundPolyPoint=243.4004,1969.6853
BoundPolyPoint=276.3279,1830.2073
BoundPolyPoint=249.6329,1748.6925
BoundPolyPoint=127.7055,1807.7360
BoundPolyPoint=124.8724,1862.3372
BoundPolyPoint=96.0678,1853.9055
BoundPolyPoint=7.2357,1761.7006
BoundPolyPoint=-47.9900,1793.8655
BoundPolyPoint=-134.6746,1811.8600
BoundPolyPoint=-142.5355,1955.5093
BoundPolyPoint=-110.3046,2005.6677
BoundPolyPoint=33.2766,2017.4663
BoundPolyPoint=55.0968,1946.8367
BoundPolyPoint=111.9681,1941.3348
BoundPolyPoint=136.1544,1954.6641

; Weapon spawns information.
; W#=weaponid,ammo
WPN=4,1
WPN=23,120
WPN=31,500
WPN=34,8
WPN=16,3

; Spawn locations within the deathmatch.
; Spawn#=team,spawnx,spawny,spawnz,spawnrot
SPAWN=0,203.752441,1862.432129,12.801003,360.0
SPAWN=0,209.674484,1864.337646,12.801003,360.0
SPAWN=0,214.922882,1864.472412,12.801003,360.0
SPAWN=0,219.965820,1864.717163,12.801003,360.0
SPAWN=0,204.279190,1873.419678,12.801003,360.0
SPAWN=0,209.425522,1872.725708,12.801003,360.0
SPAWN=0,213.305756,1872.884155,12.801003,360.0
SPAWN=0,217.301971,1872.606323,12.801003,360.0
SPAWN=0,165.250229,1848.795166,33.558815,360.0
SPAWN=0,181.700439,1880.322388,19.493019,360.0
SPAWN=1,-103.057755,1846.364014,40.457996,360.0
SPAWN=1,-65.190689,1827.709473,16.886940,360.0
SPAWN=1,-45.150764,1859.001587,17.301003,221.0
SPAWN=1,-93.653130,1849.449097,17.687845,360.0
SPAWN=1,-99.578552,1881.793213,16.060051,360.0
SPAWN=1,-52.934593,1896.314209,17.600998,360.0
SPAWN=1,-65.279984,1962.316895,37.539997,360.0
SPAWN=1,-78.869125,1913.326416,19.364128,360.0
SPAWN=1,-60.511398,1932.107178,17.188423,360.0
SPAWN=1,-54.123871,1964.790161,17.301003,199.0

VEHICLE=470,200.5008,1880.0742,17.6374,357.6855,43,0
VEHICLE=470,206.3578,1879.8593,17.6363,355.3800,43,0
VEHICLE=470,172.6200,1874.7903,20.8037,280.7443,43,0
VEHICLE=468,-11.6653,1965.3636,17.3092,181.9629,53,53
VEHICLE=468,-15.1467,1965.5226,17.3094,183.7599,6,6
VEHICLE=468,-50.8564,1896.7351,17.2265,33.8087,53,53
VEHICLE=468,-54.6670,1895.1173,17.2305,34.9305,53,53
VEHICLE=468,-66.7704,1838.4655,16.8958,5.1756,6,6
VEHICLE=468,-32.9682,1822.9891,17.2321,21.2171,6,6

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=753,95.9060,1918.0845,17.2208,0.0000,0.0000,0.0000,1000.0
OBJECT=2254,11.1732,1913.9148,16.6789,270.6186,0.0000,0.0000,1000.0
OBJECT=701,37.3169,1897.4382,17.2220,0.0000,0.0000,0.0000,1000.0
OBJECT=815,117.0718,1930.3817,17.9646,0.0000,0.0000,0.0000,1000.0
OBJECT=855,10.4721,1906.5095,16.7953,0.0000,0.0000,0.0000,1000.0
OBJECT=866,17.5129,1905.1110,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,4.9659,1899.7672,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,3.4921,1929.2273,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,7.6631,1924.2756,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,4.7839,1922.3029,16.9342,0.0000,0.0000,0.0000,1000.0
OBJECT=866,27.4234,1943.1342,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,24.6312,1946.3632,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,20.5611,1949.4303,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,23.1651,1943.0176,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,-4.4736,1946.2614,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,-11.2786,1945.8490,16.9195,0.0000,0.0000,0.0000,1000.0
OBJECT=866,-23.3494,1912.2369,17.0378,0.0000,0.0000,0.0000,1000.0
OBJECT=866,-20.5404,1915.6429,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,-17.4890,1918.7507,16.9128,0.0000,0.0000,0.0000,1000.0
OBJECT=866,-13.9419,1919.5853,16.6713,0.0000,0.0000,235.3817,1000.0
OBJECT=16252,-26.9396,2002.5603,53.7671,0.0000,0.0000,65.3172,1000.0
OBJECT=16252,-128.4958,1914.1605,33.8763,0.0000,0.0000,156.4175,1000.0
OBJECT=16252,-68.3865,1806.9108,58.8489,0.0000,0.0000,226.0320,1000.0
OBJECT=16252,50.6069,1805.5872,57.0105,0.0000,0.0000,272.4415,1000.0
OBJECT=16252,108.6349,1965.3257,73.7121,0.0000,303.2772,68.7549,1000.0
OBJECT=16252,241.1097,1943.5101,61.2808,0.0000,303.2772,76.4899,1000.0
OBJECT=16252,258.0483,1879.5347,61.2605,0.0000,0.0000,346.2490,1000.0
OBJECT=16252,212.1566,1782.9733,51.9776,0.0000,0.0000,262.8836,1000.0
OBJECT=16252,-84.0988,2012.2810,49.6321,0.0000,0.0000,103.9916,1000.0
OBJECT=16406,-42.0584,1921.2808,21.0103,0.0000,0.0000,352.2651,1000.0
OBJECT=3252,-28.3966,1919.3174,17.5550,0.0000,0.0000,0.0000,1000.0
OBJECT=1452,-39.3710,1921.1938,23.5537,0.0000,0.0000,85.0842,1000.0
OBJECT=1410,-39.4195,1919.8542,22.4140,270.6186,0.0000,84.2249,1000.0
OBJECT=1410,-42.4475,1918.3972,22.3670,270.6186,0.0000,170.1685,1000.0
OBJECT=1410,-46.4523,1918.9478,22.3884,270.6186,0.0000,171.0280,1000.0
OBJECT=1474,-48.9391,1920.7151,17.5321,0.0000,0.0000,262.8837,1000.0
OBJECT=1473,-50.7489,1919.4121,16.9835,0.0000,0.0000,319.6065,1000.0
OBJECT=1476,-49.5923,1920.4863,16.9058,0.0000,347.1084,231.0844,1000.0
OBJECT=3187,56.6073,1903.1090,20.6931,0.0000,0.0000,39.5341,1000.0
OBJECT=7520,33.7921,1851.5555,16.9512,0.0000,0.0000,307.5744,1000.0
OBJECT=3399,43.9103,1862.7042,19.2347,0.0000,0.0000,307.5744,1000.0
OBJECT=16690,-62.5541,1834.6619,20.9014,0.0000,0.0000,257.7270,1000.0
OBJECT=971,27.8727,1876.6598,17.6833,0.0000,0.0000,307.5744,1000.0
OBJECT=971,28.5059,1882.1350,17.8606,0.0000,0.0000,217.3335,1000.0
OBJECT=971,33.8446,1886.1583,17.1855,0.0000,0.0000,217.3335,1000.0
OBJECT=971,47.5773,1896.6937,16.0394,0.0000,0.0000,217.3335,1000.0
OBJECT=971,46.6573,1881.4320,17.6628,0.0000,0.0000,217.3335,1000.0
OBJECT=975,43.5883,1893.6029,17.2062,0.0000,90.2409,36.0963,1000.0
OBJECT=16502,20.5964,1937.1113,16.9102,358.2811,12.8916,321.3253,1000.0
OBJECT=17804,-102.6686,1952.1986,27.2055,0.0000,356.5623,108.2890,1000.0
OBJECT=17335,-7.5850,1830.2455,24.5891,0.0000,0.0000,177.8262,1000.0
OBJECT=3406,28.0926,1830.0288,19.5614,0.0000,0.0000,0.0000,1000.0
OBJECT=3406,19.6589,1829.1196,19.5614,0.0000,0.0000,14.6104,1000.0
OBJECT=3406,11.0060,1827.7380,21.0684,359.1406,358.2811,357.4217,1000.0
OBJECT=11387,-74.4987,1872.1228,19.0009,0.0000,0.0000,0.0000,1000.0
OBJECT=991,-74.3077,1900.2076,18.6080,0.0000,0.0000,91.1003,1000.0
OBJECT=991,-74.3070,1892.2666,18.6294,0.0000,0.0000,89.3814,1000.0
OBJECT=3359,-53.1451,1896.5988,16.6422,0.0000,0.0000,215.6145,1000.0
OBJECT=1410,-56.7770,1891.5862,20.7090,270.6186,0.0000,58.4418,1000.0
OBJECT=1410,-59.0259,1887.8811,20.6850,270.6186,0.0000,58.4418,1000.0
OBJECT=1410,-61.0965,1884.5416,20.6798,269.7591,0.0000,58.4418,1000.0
OBJECT=991,-88.7176,1871.8772,18.8378,0.0000,0.0000,181.3412,1000.0
OBJECT=17037,-66.6610,1851.0443,18.7180,0.0000,0.0000,0.0000,1000.0
OBJECT=17037,-37.8051,1829.9668,19.1891,0.0000,352.2651,317.0282,1000.0
OBJECT=16083,-44.2527,1931.4198,21.1791,0.0000,0.0000,79.9276,1000.0
OBJECT=16080,-51.1257,1931.5853,25.8796,0.0000,0.0000,347.9679,1000.0
OBJECT=16076,-53.0982,1936.8988,20.4103,0.0000,0.0000,0.0000,1000.0
OBJECT=1410,-44.1641,1926.2916,25.6337,322.1847,2.5783,269.8633,1000.0
OBJECT=1410,-43.1150,1926.2572,26.0581,273.1968,12.8916,279.3170,1000.0
OBJECT=1410,-43.1877,1923.8541,26.0288,273.1968,12.8916,279.3170,1000.0
OBJECT=18260,-94.8559,1947.2700,37.7521,3.4377,358.2811,12.0321,1000.0
OBJECT=18260,-78.4704,1958.2810,34.9433,358.2811,356.5623,69.6144,1000.0
OBJECT=5262,-31.6542,1968.8889,28.9420,0.0000,3.4377,287.8074,1000.0
OBJECT=3577,-58.4930,1956.6189,33.6432,6.8755,359.1406,0.0000,1000.0
OBJECT=3577,-46.3771,1964.8669,27.0668,359.1406,358.2811,146.1043,1000.0
OBJECT=17001,-122.8759,1851.2836,12.7705,0.0000,4.2972,188.2167,1000.0
OBJECT=16395,-3.4915,1889.0582,6.8449,0.0000,4.2972,13.7510,1000.0
OBJECT=12911,-88.4079,1837.4260,16.6534,0.0000,0.0000,293.8234,1000.0
OBJECT=6928,-159.1795,1992.9761,79.8624,0.0000,0.0000,0.0000,1000.0
OBJECT=6928,-165.1852,1958.2729,78.0948,0.0000,0.0000,0.0000,1000.0
OBJECT=984,-12.0452,1937.8096,17.2840,0.0000,0.0000,0.0000,1000.0
OBJECT=984,-10.0551,1977.9822,17.2840,0.0000,0.0000,0.0000,1000.0
OBJECT=984,-10.0430,1990.7627,17.2840,0.0000,0.0000,0.0000,1000.0
OBJECT=984,-28.2006,1910.0780,17.2843,0.0000,0.0000,357.4217,1000.0
OBJECT=984,-22.4451,1954.9493,17.3023,0.0000,0.0000,99.6947,1000.0
OBJECT=984,-35.0374,1952.6096,17.2840,0.0000,0.0000,281.7913,1000.0
OBJECT=984,-47.5953,1950.2118,17.2840,0.0000,0.0000,99.6947,1000.0
OBJECT=984,-60.2218,1948.0851,17.2773,0.0000,0.0000,99.6947,1000.0
OBJECT=984,-65.7749,1940.7437,16.8632,0.0000,0.0000,184.7789,1000.0
OBJECT=984,-74.4562,1910.8092,18.2268,0.0000,0.0000,181.3411,1000.0
OBJECT=984,-74.7306,1923.5231,18.4378,0.0000,0.0000,181.3411,1000.0
OBJECT=984,-20.4334,1845.1382,17.2773,0.0000,0.0000,0.0000,1000.0
OBJECT=984,-21.2799,1808.3247,17.2773,0.0000,0.0000,0.0000,1000.0
OBJECT=984,20.7925,1876.8889,17.2773,0.0000,0.0000,307.5744,1000.0
OBJECT=984,10.6625,1869.1013,17.2843,0.0000,0.0000,307.5744,1000.0
OBJECT=984,0.5353,1861.3250,17.2773,0.0000,0.0000,307.5744,1000.0
OBJECT=983,-7.1059,1855.5535,17.3242,0.0000,0.0000,305.8555,1000.0
OBJECT=16258,98.9387,1830.4226,36.0592,0.0000,0.0000,249.2365,1000.0
OBJECT=16258,108.1611,1823.7471,47.5655,0.0000,0.0000,244.9393,1000.0
OBJECT=16258,102.5845,1797.9980,48.4781,0.0000,0.0000,224.3129,1000.0
OBJECT=16252,255.9003,1853.0941,120.5355,0.0000,279.2130,25.7831,1000.0
OBJECT=16252,258.0818,1839.1827,71.1389,0.0000,279.2130,337.6546,1000.0
OBJECT=16252,211.4840,1795.0850,94.0169,0.0000,279.2130,251.7110,1000.0
OBJECT=16252,183.5018,1827.6469,105.0216,0.0000,279.2130,251.7110,1000.0
OBJECT=16252,161.8111,1854.2507,91.7178,20.6265,258.5865,3.4377,1000.0
OBJECT=16252,146.4595,1929.7870,79.6435,340.2330,257.7270,30.9397,1000.0
OBJECT=16258,197.3716,2007.9795,32.0997,0.0000,0.0000,61.8794,1000.0
OBJECT=16127,142.5732,1894.0706,37.8538,339.3735,346.2490,321.3253,1000.0
OBJECT=12985,166.1077,1868.8344,36.5629,0.0000,0.0000,210.4578,1000.0
OBJECT=12985,152.2877,1887.3934,46.8169,6.8755,0.8594,230.2250,1000.0
OBJECT=5005,-141.4330,1973.1763,62.3613,354.8434,14.6104,72.1926,1000.0
OBJECT=1410,210.2781,1836.2606,21.3231,270.6186,0.0000,181.3416,1000.0
OBJECT=1410,206.3203,1836.1453,21.3004,270.6186,0.0000,181.3416,1000.0
OBJECT=16127,164.3533,1874.1699,26.1408,354.8434,0.0000,278.3536,1000.0
OBJECT=1410,165.3952,1859.3531,32.8893,270.6186,0.0000,94.5380,1000.0

