
Name=HighJump
Author=KillFrenzy
Description=See if you survive the first time
MinLevel=15
JoinCost=5000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=-1657.109985,-160.531921,13.912809

RunTime=240
WinBaseXP=300000
WinBaseCash=500000

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=451
VehicleHealth=10000.0
VehicleComponents=1010

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size,vehicletype
CP=-1127.958374,364.595062,13.250000,,9.0
CP=-878.605408,650.210022,2.941800,,6.0
CP=-1320.892090,1109.540527,0.312223,,6.0
CP=-1418.490967,1594.637451,2.781768,,6.0
CP=-1354.053833,1567.168945,3.108183,,6.0
CP=-1346.613525,713.134827,115.993073,,6.0
CP=-1327.254883,507.024109,17.234375,,6.0
CP=-1457.8082,501.6837,17.9751,,6.0

; Spawn Points
; If there are no spawn points, races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz
SPAWN=-1657.109985,-160.531921,13.912809,315.0
SPAWN=-1653.008423,-164.658707,13.912809,315.0
SPAWN=-1660.849976,-156.713257,13.912809,315.0
SPAWN=-1649.182861,-168.595703,13.912809,315.0
SPAWN=-1664.880981,-152.607834,13.912809,315.0
SPAWN=-1645.432007,-172.451508,13.912809,315.0
SPAWN=-1650.787476,-154.286591,13.912809,315.0
SPAWN=-1646.715698,-158.560852,13.912809,315.0
SPAWN=-1642.921875,-162.455154,13.912809,315.0
SPAWN=-1654.672974,-150.618668,13.912809,315.0
SPAWN=-1658.383057,-146.613312,13.912809,315.0
SPAWN=-1639.445190,-166.217880,13.912809,315.0
SPAWN=-1644.283081,-147.763123,13.912809,315.0
SPAWN=-1640.508423,-151.755875,13.912809,315.0
SPAWN=-1648.204956,-143.873840,13.912809,315.0
SPAWN=-1636.463013,-155.934357,13.912809,315.0
SPAWN=-1632.818604,-159.657486,13.912809,315.0
SPAWN=-1652.052490,-140.172485,13.912809,315.0
SPAWN=-1658.999756,-158.689697,13.912809,315.0
SPAWN=-1651.090454,-166.628448,13.912809,315.0
SPAWN=-1662.882935,-154.638489,13.912809,315.0
SPAWN=-1647.332397,-170.633545,13.912809,315.0
SPAWN=-1655.086548,-162.524323,13.912809,315.0
SPAWN=-1656.532593,-148.631119,13.912809,315.0
SPAWN=-1641.235352,-164.326797,13.912809,315.0
SPAWN=-1652.737183,-152.493103,13.912809,315.0
SPAWN=-1644.853882,-160.543961,13.912809,315.0
SPAWN=-1648.760132,-156.432404,13.912809,315.0
SPAWN=-1638.414063,-153.758148,13.912809,315.0
SPAWN=-1646.155518,-145.838287,13.912809,315.0
SPAWN=-1650.125366,-141.987122,13.912809,315.0
SPAWN=-1634.680420,-157.917938,13.912809,315.0

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=970,-1324.1528,1097.4421,0.9561,0.0000,358.2811,36.0963,300.0
OBJECT=970,-1327.4647,1094.9923,0.9561,0.0000,358.2811,37.8152,300.0
OBJECT=18450,-1386.8104,1199.6818,-0.0383,0.0000,0.0000,126.4405,300.0
OBJECT=1225,-1236.1669,1012.3969,42.7028,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1242.3601,1005.7036,43.0211,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1226.9384,1001.2158,42.7976,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1229.6335,993.1315,43.0317,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1240.1240,1000.6099,43.0782,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1232.0875,998.8735,42.9539,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1235.3096,990.3595,43.2066,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1244.3774,997.8104,43.2314,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1237.4581,984.3640,43.3789,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1235.4380,1007.8550,42.8342,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1221.3627,1000.3707,42.6902,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1229.4268,1014.7576,42.5295,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1250.1102,997.8950,43.3462,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1241.7754,982.7172,43.5020,0.0000,0.0000,0.0000,300.0
OBJECT=18450,-1421.1219,1267.6517,-0.0626,0.0000,0.0000,287.1550,300.0
OBJECT=18450,-1430.1449,1342.2775,-0.0926,0.0000,0.0000,266.6324,300.0
OBJECT=18450,-1425.1877,1421.9681,-0.0939,0.0000,0.0000,86.2544,300.0
OBJECT=1634,-1422.9504,1457.2699,1.3972,0.0000,0.0000,357.4217,300.0
OBJECT=1634,-1418.8148,1456.9089,1.3222,0.0000,0.0000,357.4217,300.0
OBJECT=1634,-1427.0291,1457.4504,1.3972,0.0000,0.0000,357.4217,300.0
OBJECT=18450,-1419.3412,1566.2422,2.4380,0.0000,0.0000,268.4551,300.0
OBJECT=1225,-1412.5449,1490.8151,6.5149,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1415.2834,1493.8014,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1415.2844,1490.8719,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1418.5603,1493.4484,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1422.6893,1493.3213,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1424.5577,1493.9274,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1430.0331,1492.9484,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1433.1383,1492.6237,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1431.2980,1490.3696,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1427.0463,1492.9814,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1406.2966,1491.9633,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1406.4077,1489.5565,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1408.2294,1489.5720,6.5073,0.0000,0.0000,0.0000,300.0
OBJECT=18450,-1417.2361,1644.1754,14.1957,0.0000,17.1887,268.4551,300.0
OBJECT=18450,-1415.3593,1716.3864,44.5435,0.0000,28.3614,268.4551,300.0
OBJECT=18450,-1413.6049,1780.9684,89.4735,0.0000,41.2530,268.4551,300.0
OBJECT=18450,-1382.3212,1818.2528,114.6216,0.0000,0.0000,179.0737,300.0
OBJECT=970,-1422.1840,1813.3638,115.5168,0.0000,0.0000,268.8997,300.0
OBJECT=970,-1422.1102,1817.4589,115.5168,0.0000,0.0000,268.8997,300.0
OBJECT=970,-1421.9962,1821.5695,115.5168,0.0000,0.0000,268.8997,300.0
OBJECT=970,-1421.8351,1824.6582,115.7188,0.0000,0.0000,268.8997,300.0
OBJECT=18450,-1308.3220,1802.9321,114.5834,0.0000,0.0000,157.5876,300.0
OBJECT=18450,-1276.7611,1755.3859,113.4703,0.0000,0.0000,67.3467,300.0
OBJECT=970,-1266.5094,1794.3293,114.3655,0.0000,0.0000,338.5141,300.0
OBJECT=970,-1262.7201,1792.8124,114.3655,0.0000,0.0000,338.5141,300.0
OBJECT=970,-1258.9625,1791.2719,114.3655,0.0000,0.0000,338.5141,300.0
OBJECT=970,-1256.1327,1790.0649,114.3655,0.0000,0.0000,335.9358,300.0
OBJECT=1634,-1290.2367,1722.2007,114.8613,0.0000,0.0000,158.0323,300.0
OBJECT=1634,-1286.5082,1720.6819,114.8613,0.0000,0.0000,158.0323,300.0
OBJECT=1634,-1294.0421,1723.7490,114.8613,0.0000,0.0000,158.0323,300.0
OBJECT=18450,-1339.7189,1602.7130,2.7644,0.0000,0.0000,67.3467,300.0
OBJECT=18450,-1348.7249,1530.5249,2.7263,0.0000,0.0000,98.2864,300.0
OBJECT=18450,-1337.1953,1451.9492,10.3291,0.0000,11.1727,98.2864,300.0
OBJECT=18450,-1326.1086,1375.9071,30.3815,0.0000,18.0482,98.2864,300.0
OBJECT=18450,-1315.6176,1303.9553,60.8643,0.0000,27.5020,98.2864,300.0
OBJECT=18450,-1305.4646,1234.4697,97.4163,0.0000,27.5020,98.2864,300.0
OBJECT=18450,-1294.5540,1160.3635,115.5900,0.0000,0.0000,278.4571,300.0
OBJECT=18450,-1301.3533,1087.0574,115.5768,0.0000,0.0000,250.9555,300.0
OBJECT=18450,-1327.1735,1012.2751,115.5887,0.0000,0.0000,250.9555,300.0
OBJECT=18450,-1352.8181,937.9532,115.6254,0.0000,0.0000,250.9555,300.0
OBJECT=18450,-1361.3223,863.9190,115.5874,0.0000,0.0000,275.8789,300.0
OBJECT=18450,-1344.2062,688.1454,115.6493,0.0000,0.0000,95.5009,300.0
OBJECT=1634,-1357.3405,826.4672,116.8534,358.2811,0.0000,187.2533,300.0
OBJECT=1634,-1353.2933,826.9745,116.8534,358.2811,0.0000,187.2533,300.0
OBJECT=1634,-1361.3221,825.9593,116.8534,358.2811,0.0000,187.2533,300.0
OBJECT=1634,-1338.0623,624.0715,116.8904,358.2811,0.0000,185.5344,300.0
OBJECT=1634,-1342.1570,623.6298,116.9174,358.2811,0.0000,185.5344,300.0
OBJECT=1634,-1333.9357,624.3665,116.9154,358.2811,0.0000,185.5344,300.0
OBJECT=18450,-1341.3591,658.3104,115.6330,0.0000,0.0000,95.5009,300.0
OBJECT=17639,-1113.0123,390.4129,12.9073,0.0000,359.1406,44.6907,300.0
OBJECT=17639,-1102.4401,379.5789,12.8823,0.0000,359.1406,44.6907,300.0
OBJECT=16644,-844.7034,619.3815,4.6206,91.1002,0.0000,307.5744,300.0
OBJECT=16644,-854.7858,632.4193,4.6706,91.1002,0.0000,307.5744,300.0
OBJECT=16644,-865.3472,646.1599,4.7206,91.1002,0.0000,307.5744,300.0
OBJECT=1225,-947.0032,530.3695,3.3505,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-950.4326,533.8812,3.3505,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-943.4472,526.5394,3.3505,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-954.3671,538.2874,3.3453,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-957.5836,541.7457,3.3453,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-961.1514,545.4036,3.3453,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1002.8901,456.1218,13.5542,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1007.4308,460.6794,13.5542,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1012.2135,465.5699,13.5542,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1037.1866,490.4223,13.5542,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1031.8922,485.0720,13.5542,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1026.8794,479.8647,13.5542,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1324.5740,1638.8452,3.5082,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1319.7910,1636.9164,3.5139,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1329.4634,1640.9575,3.5139,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1420.4253,1527.2756,3.1875,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1415.1305,1527.0343,3.1875,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1425.6915,1527.4163,3.1875,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1418.9435,1480.4702,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1426.3813,1480.2866,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1422.9702,1480.4883,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1429.7224,1481.4412,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1414.8099,1481.7892,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1426.7421,1497.6826,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1419.1649,1497.6552,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1422.7485,1497.7172,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1415.8821,1497.4742,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1430.3307,1497.3915,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1425.2504,1485.6110,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1419.6521,1485.5629,11.2142,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1294.5292,1193.8032,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1299.4584,1193.2562,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1304.5216,1192.6041,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1300.6356,1183.5812,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1295.5154,1184.4353,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1291.7460,1176.9098,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1296.8113,1176.2025,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1301.7495,1175.4635,116.3395,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1342.3585,728.5368,115.2667,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1345.1462,728.2473,115.2454,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1348.0941,727.9793,115.2325,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1351.0908,727.7595,115.2405,0.0000,0.0000,0.0000,300.0
OBJECT=1225,-1353.9346,727.4683,115.2260,0.0000,0.0000,0.0000,300.0

; Pickups
; Format:
;	PICKUPREPAIR=x,y,z,respawntime
;	PICKUPNITRO=x,y,z,respawntime
;	PICKUPVEHICLE=x,y,z,vehicletype,respawntime
PICKUPREPAIR=-899.731384,673.977966,4.451168
PICKUPREPAIR=-1321.239258,1109.883911,1.812225
PICKUPREPAIR=-1354.045776,1565.975830,4.608183
PICKUPNITRO=-1418.463745,1601.556396,4.281768
