Name=GoFastFTW
Author=Piggus
MinLevel=15
JoinCost=3000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=2204.5276,-2642.8887,13.5469

RunTime=120
WinBaseXP=120000
WinBaseCash=150000

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; The params type and size are optional
; Format: CP=x,y,z,type,size
CP=1754.6898,-2694.5203,3998.0911
CP=1404.4823,-2692.4338,3878.1951
CP=997.1274,-2687.9102,3573.2056
CP=317.3550,-2673.6968,2638.876
CP=-50.4874,-2660.6201,1738.9390
CP=-324.6074,-2650.0588,1063.3921
CP=-575.5081,-2641.4231,447.3921
CP=-693.5352,-2636.4766,154.5069
CP=-780.5103,-2633.3330,95.9382
CP=-849.3327,-2633.1211,95.6587

; Spawn Points
; If there are no spawn points, races will just be given their vehicle at the checkpoint
; Format: SPAWN=x,y,z,rotz
SPAWN=1984.080444,-2699.921387,4001.776123,89.0
SPAWN=1984.140747,-2698.620605,4001.776123,89.0
SPAWN=1984.204224,-2697.157715,4001.776123,89.0
SPAWN=1984.425171,-2695.647949,4001.776123,89.0
SPAWN=1984.527222,-2694.013428,4001.776123,89.0
SPAWN=1984.795288,-2692.533691,4001.776123,89.0
SPAWN=1984.852173,-2690.927002,4001.776123,89.0
SPAWN=1978.851440,-2699.894287,4001.776123,89.0
SPAWN=1978.939087,-2698.063232,4001.776123,89.0
SPAWN=1979.005615,-2696.295654,4001.776123,89.0
SPAWN=1978.955200,-2694.415039,4001.776123,89.0
SPAWN=1978.915527,-2692.650146,4001.776123,89.0
SPAWN=1978.781250,-2690.806152,4001.776123,89.0
SPAWN=1974.553589,-2699.799072,4001.776123,89.0
SPAWN=1974.489014,-2698.095459,4001.776123,89.0
SPAWN=1974.746582,-2696.390137,4001.776123,89.0
SPAWN=1975.005493,-2694.463867,4001.776123,89.0
SPAWN=1975.125854,-2692.952881,4001.776123,89.0
SPAWN=1975.264526,-2690.962158,4001.776123,89.0
SPAWN=1971.153320,-2695.677490,4001.776123,89.0

; Objects
; The last param (viewdistance) is optional
; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz,viewdistance
OBJECT=18450,472.2545,-2676.6516,2849.8867,0.8594,305.8555,0.0000,
OBJECT=18450,427.1249,-2675.7393,2787.4448,0.8594,305.8555,0.0000,
OBJECT=18450,380.9625,-2674.7500,2723.5972,0.8594,305.8555,0.0000,
OBJECT=18450,334.2516,-2673.7939,2659.0061,0.8594,305.8555,0.0000,
OBJECT=7073,1838.5779,-2703.8049,4020.1487,0.0000,0.0000,0.0000,
OBJECT=3524,1969.3607,-2702.2380,4004.2029,0.0000,0.0000,85.0842,
OBJECT=3524,1969.8739,-2689.2075,4004.2676,0.0000,359.1406,85.0842,
OBJECT=3374,764.1119,-2679.7974,3258.1609,359.1406,34.3775,0.0000,
OBJECT=3374,647.5170,-2683.6858,3097.6711,0.8594,45.5501,0.0000,
OBJECT=3374,363.6153,-2670.7793,2704.2151,0.0000,36.0963,0.0000,
OBJECT=3374,363.2321,-2678.7153,2703.4797,0.0000,36.0963,0.0000,
OBJECT=3374,583.2884,-2678.4419,1.3329,350.5462,36.9558,0.0000,
OBJECT=3374,504.6743,-2680.6929,2898.9714,0.0000,41.2530,0.0000,
OBJECT=3374,505.7922,-2678.2104,2900.5168,0.0000,41.2530,0.0000,
OBJECT=18450,295.9964,-2672.7998,2589.8362,0.8594,292.1046,0.0000,
OBJECT=18450,268.8942,-2671.7927,2523.0989,0.8594,292.1046,0.0000,
OBJECT=18450,238.8468,-2670.6838,2449.0786,0.8594,292.1046,0.0000,
OBJECT=18450,209.0835,-2669.5671,2375.7676,0.8594,292.1046,0.0000,
OBJECT=18450,179.3297,-2668.4668,2302.3879,0.8594,292.1046,0.0000,
OBJECT=18450,149.9130,-2667.3589,2229.7727,0.8594,292.1046,0.0000,
OBJECT=18450,119.9305,-2666.2715,2155.8838,0.8594,292.1046,0.0000,
OBJECT=18450,89.8427,-2665.2075,2081.5347,0.8594,292.1046,0.0000,
OBJECT=18450,60.2367,-2664.0955,2008.5667,0.8594,292.1046,0.0000,
OBJECT=18450,30.8338,-2663.0127,1936.2086,0.8594,292.1046,0.0000,
OBJECT=18450,1.1285,-2661.8789,1863.0542,0.8594,292.1046,0.0000,
OBJECT=18450,-28.5601,-2660.7551,1789.8998,0.8594,292.1046,0.0000,
OBJECT=18450,-58.0930,-2659.6958,1717.1368,0.8594,292.1046,0.0000,
OBJECT=18450,-87.5893,-2658.5999,1644.4905,0.8594,292.1046,0.0000,
OBJECT=18450,-117.5124,-2657.4819,1570.8008,0.8594,292.1046,0.0000,
OBJECT=18450,-147.1630,-2656.3792,1497.7882,0.8594,292.1046,0.0000,
OBJECT=18450,-176.5825,-2655.2573,1425.3208,0.8594,292.1046,0.0000,
OBJECT=18450,-205.6591,-2654.1929,1353.6436,0.8594,292.1046,0.0000,
OBJECT=18450,-235.0795,-2653.1118,1281.1887,0.8594,292.1046,0.0000,
OBJECT=18450,-264.8744,-2652.0190,1207.7996,0.8594,292.1046,0.0000,
OBJECT=18450,-294.6100,-2650.9360,1134.5519,0.8594,292.1046,0.0000,
OBJECT=18450,-324.3147,-2649.8435,1061.4149,0.8594,292.1046,0.0000,
OBJECT=18450,-353.6358,-2648.7607,989.1599,0.8594,292.1046,0.0000,
OBJECT=18450,-383.2401,-2647.6816,916.2146,0.8594,292.1046,0.0000,
OBJECT=18450,-412.5236,-2646.6235,844.0165,0.8594,292.1046,0.0000,
OBJECT=18450,-442.0705,-2645.5176,771.1880,0.8594,292.1046,0.0000,
OBJECT=18450,-471.7139,-2644.4231,698.1754,0.8594,292.1046,0.0000,
OBJECT=18450,-501.6691,-2643.2952,624.4037,0.8594,292.1046,0.0000,
OBJECT=18450,-531.7069,-2642.1746,550.4121,0.8594,292.1046,0.0000,
OBJECT=18450,-561.4935,-2641.0591,476.9835,0.8594,292.1046,0.0000,
OBJECT=18450,-591.0317,-2639.9797,404.1942,0.8594,292.1046,0.0000,
OBJECT=18450,-620.5108,-2638.8809,331.5441,0.8594,292.1046,0.0000,
OBJECT=18450,-650.2618,-2637.7625,258.2442,0.8594,292.1046,0.0000,
OBJECT=18450,-677.1599,-2636.7700,191.9880,0.8594,292.1046,0.0000,
OBJECT=18450,-704.0729,-2635.7556,125.6923,0.8594,292.1046,0.0000,
OBJECT=18450,-723.7892,-2635.3801,101.0361,0.8594,310.1527,0.0000,
OBJECT=18450,-740.5961,-2635.3127,94.9546,0.8594,335.9358,0.0000,
OBJECT=18450,-756.6595,-2635.3235,95.9104,0.8594,357.4217,0.0000,
OBJECT=3374,-15.7215,-2663.7178,1827.6943,0.0000,27.5020,0.0000,
OBJECT=3374,-104.3897,-2653.0852,1609.3848,0.0000,24.0642,0.0000,
OBJECT=3374,-142.6243,-2660.2358,1514.8604,0.8594,29.2208,0.0000,
OBJECT=3374,-271.7586,-2648.4958,1196.7114,2.5783,24.0642,0.0000,
OBJECT=3374,-364.1645,-2651.7427,969.2297,0.0000,26.6425,0.0000,
OBJECT=3374,-143.8070,-2656.5129,1512.3477,0.8594,29.2208,0.0000,
OBJECT=3374,-103.8324,-2656.8625,1610.9252,0.0000,24.0642,0.0000,
OBJECT=3374,-364.1510,-2644.7671,969.4988,0.0000,26.6425,0.0000,

; Pickups
; Format:
;	PICKUPREPAIR=x,y,z
;	PICKUPNITRO=x,y,z
;	PICKUPVEHICLE=vehicletype,x,y,z
PICKUPVEHICLE=530,763.611572,-2678.074219,3255.097900
PICKUPVEHICLE=574,647.645996,-2684.889160,3094.837646
PICKUPVEHICLE=448,504.422241,-2680.693848,2896.564941
PICKUPVEHICLE=462,363.774719,-2669.567383,2701.955811
PICKUPVEHICLE=509,363.177063,-2679.603271,2701.116211
