; Converted Sun, 11 Apr 10 20:00:10 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=1281.0223,885.3733,6.8125
MinLevel=1
JoinCost=6969
WinBaseXP=1337000
WinBaseCash=1000000

Name=Innerstate
Author=Chv
RunTime=1000
Weather=0
Time=7:0

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=411

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
CP=1963.789917,-2683.353271,6.784369,0,8
CP=2173.916992,-2527.972656,12.375,0,8
CP=2252.39917,-2321.609619,12.375,0,8
CP=2395.4729,-2190.22876,12.382092,0,8
CP=2516.442871,-2170.662842,12.375,0,8
CP=2711.969482,-2169.580078,9.929688,0,8
CP=2837.655029,-1965.672363,9.9375,0,8
CP=2860.126465,-1726.894043,9.875,0,8
CP=2912.730713,-1539.163208,9.875,0,8
CP=2904.342285,-1260.922852,9.875,0,8
CP=2888.493164,-1070.497437,9.875,0,8
CP=2895.475586,-770.342773,9.835938,0,8
CP=2873.764648,-577.61261,10.689693,0,8
CP=2763.736084,-408.045563,22.395592,0,8
CP=2764.764648,-105.84906,33.987202,0,8
CP=2687.968262,314.616913,19.678593,0,8
CP=2420.715576,320.893768,31.664063,0,8
CP=2015.659058,309.352997,33.451023,0,8
CP=1698.422119,247.612488,18.627037,0,8
CP=1638.52356,204.181625,30.85146,0,8
CP=1670.943604,304.196411,29.116037,0,8
CP=1763.600342,570.7229,23.647911,0,8
CP=1804.830444,834.823486,9.671875,0,8
CP=1807.142212,1123.341675,5.734375,0,8
CP=1807.889404,1228.047485,5.734375,0,8
CP=1791.023071,1459.080933,5.741995,0,8
CP=1789.48938,1637.303467,5.734374,0,8
CP=1788.553955,1932.75354,5.103259,0,8
CP=1799.226196,2245.728271,3.967175,0,8
CP=1816.970703,2485.228516,13.176122,0,8
CP=1613.331909,2509.713379,7.16706,0,8
CP=1180.973755,2485.697266,8.550124,0,8
CP=953.551208,2594.085693,9.575975,0,8
CP=643.914978,2404.712891,28.222591,0,8
CP=662.087646,2114.839844,16.448566,0,8
CP=638.893799,1765.631958,3.948487,0,8
CP=396.196716,1569.4729,16.411161,0,8
CP=309.554413,1286.261597,12.221283,0,8
CP=188.213516,1135.053345,13.798504,0,8
CP=232.044098,964.386047,27.103203,0,8
CP=270.075012,825.746948,15.446701,0,8
CP=-5.36821,597.512146,9.237471,0,8
CP=-172.988602,536.485291,6.69053,0,8
CP=-308.90448,549.284302,15.353834,0,8
CP=-713.061829,683.503113,15.910016,0,8
CP=-911.845032,966.088623,16.923,0,8
CP=-1019.558105,1176.708496,34.384541,0,8
CP=-1135.085938,1093.44043,37.652084,0,8
CP=-1348.581177,870.322693,45.892403,0,8
CP=-1604.512207,601.469727,40.300682,0,8
CP=-1862.670898,243.335693,37.552803,0,8
CP=-1884.955933,61.230019,37.242188,0,8
CP=-1897.210327,-318.948303,37.242188,0,8
CP=-1896.988037,-657.498657,39.309303,0,8
CP=-1897.299927,-1018.080383,37.889671,0,8
CP=-1893.314331,-1200.561035,38.484375,0,8
CP=-1873.130127,-1153.167969,28.917881,0,8
CP=-1948.880371,-1150.588989,28.191996,0,8
CP=-1987.212036,-1112.781982,32.968575,0,8
CP=-1963.072388,-1228.085449,38.47678,0,8
CP=-1913.814697,-1140.183838,37.383186,0,8
CP=-1910.843506,-905.90155,43.953125,0,8
CP=-1910.069946,-567.453979,37.234375,0,8
CP=-1909.033203,-86.030136,37.242188,0,8
CP=-1883.699463,-132.185181,37.242188,0,8
CP=-1922.012207,-329.553162,46.16378,0,8
CP=-2209.781006,-349.677979,36.017166,0,8
CP=-2470.352295,-340.867432,31.426003,0,8
CP=-2635.823975,-365.888824,12.534739,0,8
CP=-2781.789307,-480.722687,6.194304,0,8
CP=-2862.458008,-729.410889,6.039063,0,8
CP=-2883.656494,-1041.959473,8.492188,0,8
CP=-2914.075195,-1630.571533,12.595071,0,8
CP=-2734.35791,-1984.469482,44.384663,0,8
CP=-2502.892578,-2232.580078,28.004831,0,8
CP=-2323.718994,-2591.86792,46.103905,0,8
CP=-1995.123047,-2612.447021,59.432777,0,8
CP=-1718.852295,-2631.407471,46.861839,0,8
CP=-1423.376099,-2858.427002,48.082111,0,8
CP=-1165.753418,-2856.275879,66.71875,0,8
CP=-759.255127,-2768.558838,73.60923,0,8
CP=-322.671204,-2798.240967,57.269302,0,8
CP=-35.951866,-2701.151123,41.048801,0,8
CP=-126.579514,-2455.906738,36.251984,0,8
CP=-340.460876,-2138.239014,27.377092,0,8
CP=-321.499603,-1766.938843,15.564699,0,8
CP=-163.304962,-1475.759644,11.804688,0,8
CP=110.133583,-1241.733398,13.95382,0,8
CP=620.664856,-1179.6521,18.715223,0,8
CP=632.328857,-1538.03833,14.121961,0,8
CP=633.300171,-1718.169922,12.934341,0,8
CP=867.987549,-1768.167847,12.382813,0,8
CP=1068.953613,-1851.277344,12.385402,0,8
CP=1250.55188,-1850.664917,12.382813,0,8
CP=1568.818848,-1870.143188,12.390608,0,8
CP=1701.299561,-1859.514282,12.569905,0,8
CP=1818.439331,-1858.709229,12.414063,0,8
CP=1833.0271,-1929.25,12.382723,0,8
CP=2036.512085,-1931.018799,12.376064,0,8
CP=2081.662842,-1896.546631,12.390623,0,8
CP=2216.554443,-1889.746094,12.390476,0,8
CP=2216.858643,-1784.191162,12.239698,0,8
CP=2230.699219,-1654.212524,14.30043,0,8
CP=2345.638916,-1653.538452,12.373607,0,8
CP=2342.745361,-1418.557739,22.828125,0,8
CP=2286.528076,-1367.285156,23.004181,0,8
CP=2286.705322,-1160.131714,25.538223,0,8
CP=2491.599609,-1150.279297,37.176003,0,8
CP=2787.086426,-1150.567383,26.314226,0,8
CP=2867.204346,-1151.445557,9.882763,0,8
CP=2901.037354,-1479.493652,9.875,0,8
CP=2826.269287,-1829.399414,9.889864,0,8
CP=2780.372803,-1892.19751,9.882813,0,8
CP=2752.365234,-1944.233643,12.396877,0,8

