; Converted Sun, 11 Apr 10 19:44:46 +1000

; The location of the waiting checkpoint. WaitLocation=x,y,z,interior
WaitLocation=2526.2268,-2323.0200,23.1911
MinLevel=1
JoinCost=10101
WinBaseXP=3500000
WinBaseCash=3000000

Name=Hybrid
Author=DazMaz
Description=Stunting... ohshi- long race... even more ohshi-
RunTime=960
Weather=2
Time=14:56

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=522

; If there are no spawn points, races will just be given their vehicle at the checkpoint
; vehicletype param is optional.
; Format: SPAWN=x,y,z,rotz,vehicletype
CP=-2194.795166,-2074.288086,80.764435,0,8
CP=-2217.829834,-2046.311768,118.816132,0,8
CP=-2275.427246,-2079.684082,117.961884,0,8
CP=-2419.175293,-2089.367188,120.653816,0,8
CP=-2472.412598,-2063.181152,134.637238,0,8
CP=-2504.068359,-2007.16272,160.64801,0,8
CP=-2621.378662,-1844.624146,213.452972,0,8
CP=-2594.251709,-1808.760864,264.572601,0,8
CP=-2508.36084,-1899.063843,296.495758,0,8
CP=-2584.422119,-1793.89917,317.144684,0,8
CP=-2603.581543,-1694.119019,328.312256,0,8
CP=-2596.431641,-1638.213989,341.531494,0,8
CP=-2584.322754,-1730.033691,348.860809,0,8
CP=-2562.987549,-1724.053101,387.459045,0,8
CP=-2527.113037,-1712.294067,401.99707,0,8
CP=-2442.104004,-1807.077271,409.369202,0,8
CP=-2398.14209,-1784.931274,430.750061,0,8
CP=-2282.999268,-1750.657349,458.644012,0,8
CP=-2321.515625,-1642.404785,482.703125,0,8
CP=-2924.016113,-1249.915039,9.056015,0,8
CP=-2892.872559,-1070.577759,8.484391,0,8
CP=-2873.296143,-928.365234,8.484377,0,8
CP=-2865.826416,-857.8573,6.379616,0,8
CP=-2863.66748,-713.420715,6.039063,0,8
CP=-2834.27832,-569.436768,6.046797,0,8
CP=-2785.451416,-487.06958,6.1875,0,8
CP=-2820.849365,-430.677887,6.039063,0,8
CP=-2810.448975,-278.453949,6.039045,0,8
CP=-2810.455078,-176.414124,6.03125,0,8
CP=-2867.970947,-97.726692,6.958662,0,8
CP=-2884.325439,-13.814896,12.590899,0,8
CP=-2918.056641,238.644028,16.484844,0,8
CP=-2959.24585,400.028595,23.508678,0,8
CP=-2992.880859,478.575836,24.501785,0,8
CP=-3049.618164,621.705322,0.147857,0,8
CP=-3067.904053,650.813354,-0.093216,0,8
CP=-3096.854004,679.212219,-0.087268,0,8
CP=-3108.733887,704.658325,-0.081318,0,8
CP=-3152.005371,767.737671,10.974131,0,8
CP=-3183.265625,816.13562,21.705357,0,8
CP=-3194.599121,835.183777,28.318066,0,8
CP=-3214.998779,865.811646,22.908356,0,8
CP=-3227.239746,883.677002,22.2999,0,8
CP=-3240.297119,899.895691,20.654741,0,8
CP=-3257.514893,921.207886,14.242491,0,8
CP=-3276.199951,944.296265,6.222047,0,8
CP=-3287.595703,958.47345,0.262395,0,8
CP=-3299.209473,972.799133,-0.286214,0,8
CP=-3318.748535,997.141174,1.809037,0,8
CP=-3332.387451,1013.592102,8.407267,1,8

; Format: OBJECT=modelid,x,y,z,rotx,roty,rotz
OBJECT=13638,2610.471436,-2356.48291,15.131491,0,0,180.481815887
OBJECT=13638,2603.674561,-2357.023438,23.21961,0,0,0.96337090864
OBJECT=13638,2592.303955,-2345.277588,31.056099,0,0,0.96337090864
OBJECT=13638,2580.426758,-2333.572021,38.892586,0,0,0.96337090864
OBJECT=13638,2586.513672,-2333.753174,46.729073,0,0,179.726142109
OBJECT=5153,2588.62085,-2343.412842,52.96629,0,357.4216908,270.722466
OBJECT=944,2588.748535,-2353.660645,54.6054,0,0,0
OBJECT=944,2588.738281,-2352.269775,54.626274,0,0,0
OBJECT=944,2588.74707,-2354.940186,54.601196,0,0,0
OBJECT=944,2588.731201,-2356.227539,54.596992,0,0,0
OBJECT=5153,2588.697754,-2351.399902,54.270531,0,357.4216908,270.722466
OBJECT=944,2588.727051,-2350.981689,54.63559,0,0,0
OBJECT=944,2588.796631,-2349.617432,54.610447,0,0,0
OBJECT=3374,2588.733887,-2356.443848,56.152035,0,0,0
OBJECT=16135,2593.250488,-2403.632324,54.673031,0,0,268.144042208
OBJECT=16135,2564.537354,-2417.933838,54.666115,0,0,345.49303173
OBJECT=16135,2472.971436,-2408.748535,61.979069,0,350.5461996,168.553125134
OBJECT=16135,2440.788086,-2390.998291,64.50692,0,25.783092,269.106897455
OBJECT=16135,2429.463623,-2341.477783,81.304352,0,334.216908,11.3797973724
OBJECT=2910,-2870.687744,-91.637009,7.892422,1.7188728,16.2256118873,4.297182
OBJECT=2910,-2887.876709,39.559196,12.158061,1.7188728,27.3981704958,4.297182
OBJECT=2910,-2907.169434,123.324867,13.507963,1.7188728,348.723761679,4.297182
OBJECT=2910,-2916.71875,221.158035,15.019089,1.7188728,338.410582175,14.6104188
OBJECT=2910,-2930.412842,294.536316,18.344099,1.7188728,330.675769166,14.6104188
OBJECT=2910,-2952.414795,376.310303,20.242451,1.7188728,327.238023566,23.2047828
OBJECT=2910,-2987.50293,456.656311,21.856834,1.7188728,325.519150766,23.2047828
OBJECT=1675,-3051.631104,608.357422,-3.023632,0,0,0
OBJECT=1675,-3055.086914,621.919983,-3.020655,0,0,0
OBJECT=1675,-3041.208252,623.983459,-3.042679,0,0,0
OBJECT=1675,-3053.430176,635.309998,-3.089705,0,0,0
OBJECT=1675,-3066.448975,649.186646,-3.261729,0,0,0
OBJECT=1675,-3079.591797,662.296875,-3.258757,0,0,0
OBJECT=1675,-3093.363525,675.999329,-3.255781,0,0,0
OBJECT=1675,-3093.375,689.976013,-3.252805,0,0,0
OBJECT=1675,-3107.529297,675.896973,-3.277806,0,0,0
OBJECT=1675,-3122.283936,690.171692,-3.29983,0,0,0
OBJECT=1675,-3108.055176,703.798645,-3.249831,0,0,0
OBJECT=13647,-3114.123291,709.669617,-0.085347,0,170.923934704,122.8994052
OBJECT=13647,-3126.475586,728.727539,3.541383,0,170.923934704,122.8994052
OBJECT=13647,-3143.53833,755.118347,8.554773,0,170.923934704,122.8994052
OBJECT=13647,-3162.896729,785.0354,14.237045,0,170.923934704,122.8994052
OBJECT=13647,-3179.589844,810.820923,20.075117,0,165.767259008,122.8994052
OBJECT=13647,-3198.183594,839.540833,21.931471,0,3.33406588728,122.8994052
OBJECT=13647,-3210.207764,858.10614,20.557465,0,3.33406588728,122.8994052
OBJECT=13647,-3228.521729,883.858887,18.099545,0,3.33406588728,128.915517296
OBJECT=13647,-3250.354248,910.930481,13.899273,0,16.2254972958,128.915517296
OBJECT=13647,-3273.852783,940.008972,2.486513,0,22.2414948,128.915517296
OBJECT=13647,-3283.334229,951.734436,0.403852,0,181.133892862,128.915517296
OBJECT=13647,-3308.712402,983.208069,-0.351327,0,180.274456462,128.915517296
OBJECT=13647,-3313.309082,988.910156,-0.394673,0,165.663693887,128.915517296

